Racquet Name,Racquet Type,URL,Head Size:,Length:,Strung Weight:,Balance:,Swingweight:,Stiffness:,Beam Width:,Composition:,Power Level:,Stroke Style:,Swing Speed:,Racquet Colors:,Grip Type:,String Pattern:,String Tension:,Price,Rating
Babolat Pure Aero Rafa,All Around Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Aero_Rafa/descpageRCBAB-PARRA.html,100 in / 645.16 cm,27in / 68.58cm,10.7oz / 303g,13.38in / 33.99cm / 1 pts HL,323.0,69,23mm / 26mm / 23mm,Graphite,Low-Medium,Medium-Full,Medium-Fast,Pink/Yellow/Black,Babolat Syntec Pro,"16 Mains / 19 CrossesMains skip: 7T,9T,7H,9HTwo PiecesNo Shared Holes",50-59 pounds,299.0,5.0
Babolat Pure Aero Team 2023,All Around Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Aero_Team_2023/descpageRCBAB-BAROTM.html,100 in / 645.16 cm,27in / 68.58cm,10.6oz / 301g,12.85in / 32.64cm / 5 pts HL,302.0,67,23mm / 26mm / 23mm,Graphite,Low-Medium,Medium-Full,Medium-Fast,Yellow/Black,Babolat Syntec Pro,"16 Mains / 19 CrossesMains skip: 7T,9T,7H,9HTwo PiecesNo Shared Holes",50-59 pounds,239.0,5.0
Babolat Pure Aero Rafa Team,All Around Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Aero_Rafa_Team/descpageRCBAB-BPARTR.html,100 in / 645.16 cm,27in / 68.58cm,10.6oz / 301g,12.99in / 32.99cm / 4 pts HL,307.0,69,23mm / 26mm / 23mm,Graphite,Low-Medium,Medium-Full,Medium-Fast,Yellow/Black/Purple,Babolat Syntec Pro,"16 Mains / 19 CrossesMains skip: 7T,9T,7H,9HTwo PiecesNo Shared Holes",50-59 pounds,169.0,5.0
Babolat Pure Aero Rafa Lite,All Around Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Aero_Rafa_Lite/descpageRCBAB-BPARLR.html,100 in / 645.16 cm,27in / 68.58cm,10.1oz / 286g,13.5in / 34.29cm / 0 pts EB,311.0,68,23mm / 26mm / 23mm,Graphite,Low-Medium,Medium-Full,Medium-Fast,Black/Yellow/Purple,Babolat Syntec Pro,"16 Mains / 19 CrossesMains skip: 7T,9T,7H,9HTwo PiecesNo Shared Holes",50-59 pounds,169.0,5.0
Babolat Boost Aero Rafa,All Around Racquets,https://www.tennis-warehouse.com/Babolat_Boost_Aero_Rafa/descpageRCBAB-BABOARR.html,102 in² / 658.06 cm²,27in / 68.58cm,9.8oz / 278g,13.75in / 34.93cm / 2 pts HH,306.0,67,23mm / 26mm / 23mm,Graphite,Low-Medium,Medium-Full,Medium-Fast,Black/Yellow/Purple,Babolat Uptake,"16 Mains / 19 CrossesMains skip: 8T,8HOne PieceNo Shared Holes",50-55 pounds,119.0,4.3
Babolat Pure Aero Team,All Around Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Aero_Team/descpageRCBAB-BPART.html,100 in² / 645.16 cm²,27in / 68.58cm,10.6oz / 301g,12.99in / 32.99cm / 4 pts HL,307.0,69,23mm / 26mm / 23mm,Graphite,Low-Medium,Medium-Full,Medium-Fast,Yellow/Black,Babolat Syntec Pro,"16 Mains / 19 CrossesMains skip: 7T,9T,7H,9HTwo PiecesNo Shared Holes",50-59 pounds,139.0,4.5
Babolat Pure Aero Lite,All Around Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Aero_Lite/descpageRCBAB-BPARL.html,100 in² / 645.16 cm²,27in / 68.58cm,10.1oz / 286g,13.5in / 34.29cm / 0 pts EB,311.0,68,23mm / 26mm / 23mm,Graphite,Low-Medium,Medium-Full,Medium-Fast,Black/Yellow,Babolat Syntec Pro,"16 Mains / 19 CrossesMains skip: 7T,9T,7H,9HTwo PiecesNo Shared Holes",50-59 pounds,139.0,5.0
Babolat EVO Aero Lite Pink,All Around Racquets,https://www.tennis-warehouse.com/Babolat_EVO_Aero_Lite_Pink/descpageRCBAB-BEARLP.html,102 in / 658.06 cm,27in / 68.58cm,9.7oz / 275g,12.99in / 32.99cm / 4 pts HL,294.0,60,23mm / 26mm / 23mm,Graphite,Low-Medium,Medium-Full,Medium-Fast,White/Pink/Grey,Babolat Syntec EVO,"16 Mains / 18 CrossesMains skip: 7T,9T,7H,9HOne PieceNo Shared Holes",50-55 pounds,169.0,4.3
Babolat EVO Aero Lite,All Around Racquets,https://www.tennis-warehouse.com/Babolat_EVO_Aero_Lite/descpageRCBAB-BEARL.html,102 in / 658.06 cm,27in / 68.58cm,9.7oz / 275g,12.99in / 32.99cm / 4 pts HL,294.0,60,23mm / 26mm / 23mm,Graphite,Low-Medium,Medium-Full,Medium-Fast,White/Yellow/Grey,Babolat Syntec EVO,"16 Mains / 18 CrossesMains skip: 7T,9T,7H,9HOne PieceNo Shared Holes",50-55 pounds,169.0,4.3
Babolat Pure Drive Team,All Around Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Drive_Team/descpageRCBAB-BRPTE.html,100 in / 645.16 cm,27in / 68.58cm,10.6oz / 301g,12.85in / 32.64cm / 5 pts HL,313.0,69,23mm / 26mm / 23mm,Graphite,Low-Medium,Medium-Full,Medium-Fast,Blue,Babolat Syntec Pro,"16 Mains / 19 CrossesMains skip: 7T,9T,7H,9HTwo PiecesNo Shared Holes",50-59 pounds,229.0,5.0
Babolat Pure Drive Lite,All Around Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Drive_Lite/descpageRCBAB-BRPDL.html,100 in / 645.16 cm,27in / 68.58cm,10oz / 283g,13.4in / 34.04cm / 1 pts HL,299.0,69,23mm / 26mm / 23mm,Graphite,Low-Medium,Medium-Full,Medium-Fast,Blue,Babolat Syntec Pro,"16 Mains / 19 CrossesMains skip: 7T,9T,7H,9HTwo PiecesNo Shared Holes",50-59 pounds,219.0,5.0
Babolat Pure Drive 107,All Around Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Drive_107/descpageRCBAB-BRPD17.html,107 in / 690.32 cm,27.2in / 69.09cm,10.6oz / 301g,12.99in / 32.99cm / 5 pts HL,309.0,69,23mm / 26mm / 23mm,Graphite,Medium,Medium,Medium,Blue,Babolat Syntec Pro,"16 Mains / 19 CrossesMains skip: 7T,9T,7H,9HTwo PiecesNo Shared Holes",50-59 pounds,229.0,5.0
Babolat Pure Strike 103,All Around Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Strike_103/descpageRCBAB-BPS103.html,103 in / 664.51 cm,27in / 68.58cm,10.6oz / 301g,13in / 33.02cm / 4 pts HL,303.0,65,21mm / 23mm / 21mm,Graphite,Low-Medium,Medium-Full,Medium-Fast,White/Coral,Babolat Syntec Team,"16 Mains / 19 CrossesMains skip: 7T,9T,7H,9HOne PieceNo Shared Holes",50-59 pounds,179.0,4.3
Babolat Pure Strike Team 3rd Gen,All Around Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Strike_Team_3rd_Gen/descpageRCBAB-BPSTRT.html,100 in² / 645.16 cm²,27in / 68.58cm,10.7oz / 303g,13.38in / 33.99cm / 1 pts HL,309.0,69,21mm / 23mm / 21mm,Graphite,Low-Medium,Medium-Full,Medium-Fast,White/Coral,Babolat Syntec Team,"16 Mains / 19 CrossesMains skip: 7T,9T,7H,9HOne PieceNo Shared Holes",50-59 pounds,169.0,4.6
Babolat Boost Aero,All Around Racquets,https://www.tennis-warehouse.com/Babolat_Boost_Aero/descpageRCBAB-BABOOA.html,102 in / 658.06 cm,27in / 68.58cm,9.7oz / 275g,13.7in / 34.8cm / 2 pts HH,309.0,65,23mm / 26mm / 23mm,Graphite,Low-Medium,Medium-Full,Medium-Fast,Black/Yellow,Babolat Uptake,"16 Mains / 19 CrossesMains skip: 8T,8HOne PieceNo Shared Holes",50-55 pounds,99.0,4.3
Babolat Boost Aero Pink,All Around Racquets,https://www.tennis-warehouse.com/Babolat_Boost_Aero_Pink/descpageRCBAB-BABOAP.html,102 in / 658.06 cm,27in / 68.58cm,9.7oz / 275g,13.7in / 34.8cm / 2 pts HH,309.0,65,23mm / 26mm / 23mm,Graphite,Low-Medium,Medium-Full,Medium-Fast,Black/Pink,Babolat Uptake,"16 Mains / 19 CrossesMains skip: 8T,8HOne PieceNo Shared Holes",50-55 pounds,99.0,4.3
Babolat Pure Drive Team Wimbledon,All Around Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Drive_Team_Wimbledon/descpageRCBAB-BBPDTW.html,100 in / 645.16 cm,27in / 68.58cm,10.6oz / 301g,12.85in / 32.64cm / 5 pts HL,313.0,69,23mm / 26mm / 23mm,Graphite,Low-Medium,Medium-Full,Medium-Fast,Wimbledon Cosmetic!,Leather,"16 Mains / 19 CrossesMains skip: 7T,9T,7H,9HTwo PiecesNo Shared Holes",50-59 pounds,239.0,5.0
Babolat EVO Drive Lite,All Around Racquets,https://www.tennis-warehouse.com/Babolat_EVO_Drive_Lite/descpageRCBAB-BEVODL.html,104 in / 670.97 cm,27in / 68.58cm,9.5oz / 269g,13in / 33.02cm / 4 pts HL,298.0,67,23mm / 26mm / 23mm,Graphite,Low-Medium,Medium-Full,Medium-Fast,Blue,Babolat Syntec Evo,"16 Mains / 17 CrossesMains skip: 7T,9T,7H,9HTwo PiecesNo Shared Holes",50-55 pounds,159.0,5.0
Babolat Boost Drive 2021,All Around Racquets,https://www.tennis-warehouse.com/Babolat_Boost_Drive_2021/descpageRCBAB-BABODR.html,105 in / 677.42 cm,27in / 68.58cm,9.6oz / 272g,13.85in / 35.18cm / 3 pts HH,312.0,65,23mm / 26mm / 23mm,Graphite,Medium,Medium,Medium,Purple/Yellow/White,Babolat Synthetic,"16 Mains / 19 CrossesMains skip: 8T,8HOne PieceNo Shared Holes",50-55 pounds,99.0,5.0
Babolat Boost Drive Wimbledon,All Around Racquets,https://www.tennis-warehouse.com/Babolat_Boost_Drive_Wimbledon/descpageRCBAB-BBBOWIM.html,105 in / 677.42 cm,27in / 68.58cm,9.6oz / 272g,13.85in / 35.18cm / 3 pts HH,312.0,65,23mm / 26mm / 23mm,Graphite,Medium,Medium,Medium,Wimbledon Cosmetic!,Babolat Synthetic,"16 Mains / 19 CrossesMains skip: 8T,8HOne PieceNo Shared Holes",50-55 pounds,119.0,4.5
Babolat Boost Drive W,All Around Racquets,https://www.tennis-warehouse.com/Babolat_Boost_Drive_W/descpageRCBAB-BABODW.html,105 in / 677.42 cm,27in / 68.58cm,9.6oz / 272g,13.85in / 35.18cm / 3 pts HH,312.0,65,23mm / 26mm / 23mm,Graphite,Medium,Medium,Medium,White,Babolat Synthetic,"16 Mains / 19 CrossesMains skip: 8T,8HOne PieceNo Shared Holes",50-55 pounds,99.0,5.0
Babolat Boost S (Strike),All Around Racquets,https://www.tennis-warehouse.com/Babolat_Boost_S_Strike/descpageRCBAB-BABOSR.html,102 in² / 658.06 cm²,27in / 68.58cm,10.4oz / 295g,13.18in / 33.48cm / 3 pts HL,312.0,68,23mm / 26mm / 23mm,Graphite,Low-Medium,Medium-Full,Medium-Fast,Red,Babolat Uptake,"16 Mains / 19 CrossesMains skip: 8T,8HOne PieceNo Shared Holes",50-55 pounds,99.0,5.0
Babolat Pure Strike EVO,All Around Racquets,https://www.tennis-warehouse.com/Babolat_Pure_Strike_EVO/descpageRCBAB-PSEVO.html,102 in / 658.06 cm,27in / 68.58cm,10.4oz / 295g,13in / 33.02cm / 4 pts HL,308.0,65,23mm / 25mm / 23mm,Graphite,Low-Medium,Medium-Full,Medium-Fast,White/Coral,Babolat Synthetic,"16 Mains / 19 CrossesMains skip: 8T,7H,9HTwo PiecesNo Shared Holes",50-55 pounds,129.0,3.5
Head Gravity Team 2023,All Around Racquets,https://www.tennis-warehouse.com/Head_Gravity_Team_2023/descpageRCHEAD-HGTMPR.html,104 in / 670.97 cm,27in / 68.58cm,10.6oz / 301g,13.18in / 33.48cm / 3 pts HL,311.0,60,24mm / 24mm / 24mm,Graphene 360+/Graphite,Low-Medium,Medium-Full,Medium-Fast,Black,Head Hydrosorb Pro,"16 Mains / 20 CrossesMains skip: 7T,9T,7H,9HTwo PiecesNo Shared Holes",48-57 pounds,239.0,5.0
Head Boom Team L,All Around Racquets,https://www.tennis-warehouse.com/Head_Boom_Team_L/descpageRCHEAD-BOOMTL.html,107 in / 690.32 cm,27.4in / 69.6cm,9.7oz / 275g,13.65in / 34.67cm / 0 pts EB,306.0,66,26mm / 26mm / 22.5mm,Graphene 360+/Graphite,Medium,Medium,Medium,Black/Coral,Hydrosorb Pro,"16 Mains / 19 CrossesMains skip: 7T,9T,7H,9HTwo PiecesNo Shared Holes",48-57 pounds,229.0,5.0
Head Boom Team,All Around Racquets,https://www.tennis-warehouse.com/Head_Boom_Team/descpageRCHEAD-BOOMT.html,102 in / 658.06 cm,27in / 68.58cm,10.2oz / 289g,13.38in / 33.99cm / 1 pts HL,316.0,66,25mm / 25mm / 22mm,Graphene 360+/Graphite,Low-Medium,Medium-Full,Medium-Fast,Black/Coral,Hydrosorb Pro,"16 Mains / 19 CrossesMains skip: 7T,9T,7H,9HTwo PiecesNo Shared Holes",48-57 pounds,239.0,5.0
Head Speed Team L,All Around Racquets,https://www.tennis-warehouse.com/Head_Speed_Team_L/descpageRCHEAD-SPDTL.html,100 in / 645.16 cm,27in / 68.58cm,9.7oz / 275g,13.6in / 34.54cm / 1 pts HH,302.0,66,25mm / 25mm / 25mm,Graphene 360+/Graphite,Low-Medium,Medium-Full,Medium-Fast,White/Black,Head Hydrosorb Pro,"16 Mains / 19 CrossesMains skip: 8T,8HTwo PiecesNo Shared Holes",48-57 pounds,229.0,4.3
Head Speed Team,All Around Racquets,https://www.tennis-warehouse.com/Head_Speed_Team/descpageRCHEAD-SPDTM.html,100 in / 645.16 cm,27in / 68.58cm,10.5oz / 298g,13.3in / 33.78cm / 2 pts HL,306.0,66,25mm / 25mm / 25mm,Graphene 360+/Graphite,Low-Medium,Medium-Full,Medium-Fast,White/Black,Head Hydrosorb Pro,"16 Mains / 19 CrossesMains skip: 8T,8HTwo PiecesNo Shared Holes",48-57 pounds,239.0,4.8
Head Instinct Team L,All Around Racquets,https://www.tennis-warehouse.com/Head_Instinct_Team_L/descpageRCHEAD-INSTTL.html,107 in / 690.32 cm,27.2in / 69.09cm,10oz / 283g,13.77in / 34.98cm / 1 pts HH,301.0,63,23mm / 26mm / 23mm,Graphene 360+/Graphite,Medium,Medium,Medium,Blue,Head Hydrosorb Pro,"16 Mains / 19 CrossesMains skip: 8T,8HTwo PiecesNo Shared Holes",48-57 pounds,149.0,4.7
